true_label,method,mean_auc,std_auc,n
0,attention,0.3029860209927327,0.16111444317790188,174
0,ig,0.2883438860857788,0.14176946924645,174
0,hybrid_fixed__norm=minmax__alpha=0.60,0.29094224464250446,0.14859771888803153,174
0,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.290147229209039,0.14816806211304812,174
0,random,0.4593405091548417,0.1068672878979316,174
1,attention,0.3575703370433031,0.2052048256379263,203
1,ig,0.25308631506335966,0.14784454857594245,203
1,hybrid_fixed__norm=minmax__alpha=0.60,0.26573152441896436,0.15650950037158315,203
1,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.25829357641327566,0.15137227798684383,203
1,random,0.4735389818698762,0.15272389401653497,203
2,attention,0.13162455157040961,0.11012643078019117,50
2,ig,0.08084793504252115,0.04631884721479838,50
2,hybrid_fixed__norm=minmax__alpha=0.60,0.08868896417841533,0.05247041596967061,50
2,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.08545061491353298,0.050730137718221296,50
2,random,0.3132567028244775,0.13379576847480737,50
3,attention,0.3793607776880001,0.19284140655405196,82
3,ig,0.3637269136199245,0.17114061544048131,82
3,hybrid_fixed__norm=minmax__alpha=0.60,0.3620066933867541,0.16732703169943614,82
3,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.363377610201453,0.16780176836385433,82
3,random,0.5096605888373362,0.10766512058833155,82
4,attention,0.3012643629215679,0.17956147576148387,69
4,ig,0.2635416402109497,0.159159228094509,69
4,hybrid_fixed__norm=minmax__alpha=0.60,0.2663987778564101,0.16521601192870117,69
4,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.26588470780978124,0.1634832012242101,69
4,random,0.45867491314988407,0.15840454504164006,69
5,attention,0.0481050110401261,0.013977008722427253,22
5,ig,0.04634447934000538,0.011966613296505552,22
5,hybrid_fixed__norm=minmax__alpha=0.60,0.04585974428281852,0.011380087639017312,22
5,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.046032195772794056,0.012022806684916358,22
5,random,0.268088275633433,0.12651521915621455,22
