method,auc_mean,auc_std,auc_ci_low,auc_ci_high,comp_mean,suff_mean
ig,0.2584978902918369,0.1634448850092763,0.24552546880702178,0.27136060259886957,0.6515597113328645,0.20852818240737103
hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.26035229860529396,0.16653604244676412,0.24731946316004777,0.2734464030364731,0.6403067583915171,0.21865178087605236
hybrid_adaptive__norm=minmax__amin=0.10__amax=0.60,0.26105908628425223,0.1670514237158199,0.24809239250223902,0.2741901115123601,0.6400992853645592,0.21767736399211837
hybrid_fixed__norm=minmax__alpha=0.60,0.26261447991623826,0.1675405110370404,0.24918279254271614,0.27593100463916626,0.6333586611234383,0.2255924495048032
hybrid_fixed__norm=minmax__alpha=0.70,0.2632325612239677,0.1668022349101706,0.24997668515301158,0.27650786174600445,0.6296500266720944,0.23524918878773066
hybrid_fixed__norm=sum__alpha=0.60,0.26362365885684524,0.16753333836284587,0.2501020491391031,0.2767441926266728,0.6349626003907114,0.22692982050873486
hybrid_fixed__norm=sum__alpha=0.70,0.2640909246882822,0.1671477551101754,0.2506644687563632,0.2771794051200295,0.6304444244005538,0.23772413967458117
hybrid_fixed__norm=minmax__alpha=0.80,0.2669097157928334,0.16733713220400076,0.25359420891293777,0.28035947651082826,0.6250990940247085,0.24902460356609898
hybrid_fixed__norm=sum__alpha=0.80,0.2675774094864375,0.16773066450515262,0.25416329367689783,0.28106665468549985,0.6237063966959543,0.2527638142649975
hybrid_adaptive__norm=minmax__amin=0.65__amax=0.95,0.2681383576090812,0.1682648491644775,0.2546099624774451,0.28171330872719796,0.628615262376545,0.26064629308485676
hybrid_adaptive__norm=sum__amin=0.65__amax=0.95,0.2683020502393082,0.16922861687647223,0.25479919812874957,0.2822214201760686,0.6263148280227739,0.26384792199992985
hybrid_adaptive__norm=rank__amin=0.10__amax=0.60,0.2685426575017821,0.16710645770323737,0.25505159998060756,0.2818617480115001,0.6293081105628127,0.24198132822434484
hybrid_adaptive__norm=minmax__amin=0.70__amax=0.95,0.2686830094494434,0.16889168786978337,0.25528400745439195,0.282385508301076,0.6257607572103664,0.26469819596671906
hybrid_fixed__norm=sum__alpha=0.85,0.26905244968381103,0.16945820293551833,0.2553773562724304,0.282653901152216,0.6219975446237964,0.2610916929261214
hybrid_fixed__norm=minmax__alpha=0.85,0.2693486378806641,0.1689060189546234,0.2557035501167192,0.28294514008346466,0.6209345186024066,0.25975816668204477
hybrid_adaptive__norm=sum__amin=0.70__amax=0.95,0.2696193005387405,0.16964304247111675,0.2560344035250139,0.2832825896394233,0.6238212620092832,0.2716723265813808
hybrid_adaptive__norm=minmax__amin=0.75__amax=0.95,0.2703374857912314,0.1698487501890355,0.2568171285150872,0.2841068031723072,0.6223734284129134,0.27102987963828773
hybrid_fixed__norm=minmax__alpha=0.90,0.27073541438217585,0.1694825335701826,0.25734929135712103,0.28442334238503975,0.6247850239009182,0.2749638277228833
hybrid_adaptive__norm=sum__amin=0.75__amax=0.95,0.27086771408704785,0.1699825480004371,0.257190508142492,0.28470758073499575,0.6245990732817266,0.2776947883859615
hybrid_fixed__norm=sum__alpha=0.90,0.27206043770000954,0.17131824017978456,0.2584896146162651,0.28585339299479534,0.6226555424208943,0.27878392796067336
hybrid_fixed__norm=minmax__alpha=0.95,0.2797413359677419,0.17619701749911526,0.2654137995613268,0.29401170700370355,0.6184053749254105,0.29734736902874864
hybrid_fixed__norm=sum__alpha=0.95,0.27997927765791103,0.1757502621075153,0.26581148367953983,0.2942513938320644,0.6190827094503393,0.30149953653175277
hybrid_fixed__norm=rank__alpha=0.60,0.2893451483537004,0.175378046143976,0.2751792377278012,0.30423828359617255,0.6149127998418906,0.30071407799945066
hybrid_fixed__norm=rank__alpha=0.70,0.29809256521031924,0.1821108387590324,0.2833226765377414,0.31358822566881417,0.607295840698707,0.31247811693672456
hybrid_adaptive__norm=softmax__amin=0.10__amax=0.60,0.3010775719439586,0.1944757333918082,0.28602052075391965,0.3170719349429996,0.6129296352828728,0.3401304714259936
hybrid_fixed__norm=softmax__alpha=0.60,0.3012434715997144,0.1936318774846516,0.28648652807104696,0.3171289975951645,0.6125105934858385,0.3398473903578019
hybrid_fixed__norm=softmax__alpha=0.70,0.3013840587606594,0.19369863693788722,0.28646260279480856,0.31729040094230154,0.6120686430881731,0.3399510312742488
hybrid_adaptive__norm=softmax__amin=0.70__amax=0.95,0.30171725385276205,0.19360985184287474,0.2868139552741197,0.3176864061454549,0.6115502486637932,0.3416140617440389
hybrid_adaptive__norm=rank__amin=0.65__amax=0.95,0.3017494897187323,0.18344274055157211,0.2871477732959924,0.31744801045057347,0.6140893493306198,0.3370554128133921
hybrid_fixed__norm=softmax__alpha=0.90,0.3017567191626111,0.19374369368944017,0.28667341231495846,0.31778272710724775,0.6107840751811923,0.34304596224773604
hybrid_adaptive__norm=softmax__amin=0.75__amax=0.95,0.30175754074397043,0.19361264580573542,0.2867611114586152,0.3176607600905811,0.6118697185080947,0.34324059598985135
hybrid_fixed__norm=softmax__alpha=0.85,0.301776167869948,0.19358409260177578,0.2868107588589272,0.31766937855162,0.6118697185080947,0.34324059598985135
hybrid_adaptive__norm=softmax__amin=0.65__amax=0.95,0.3017847475693925,0.19399648038960873,0.2867772478392908,0.31767904481440196,0.611757336573596,0.34074521236223443
hybrid_fixed__norm=softmax__alpha=0.80,0.30179710837971396,0.19388687378362432,0.2867994810401007,0.3177022783597637,0.6118070984891754,0.3407361752550052
hybrid_adaptive__norm=rank__amin=0.70__amax=0.95,0.3022753475031665,0.18335568788234666,0.28785012672374904,0.31773260342681736,0.6131537455457664,0.3435416148462667
hybrid_fixed__norm=softmax__alpha=0.95,0.30228891285432524,0.19422944189515248,0.2871672313249721,0.318430462413749,0.610779083288906,0.3470816167736295
hybrid_fixed__norm=rank__alpha=0.80,0.3026849256311789,0.18456217329495275,0.28821218013126293,0.31796993611767355,0.61386184767813,0.3410800845846713
hybrid_adaptive__norm=rank__amin=0.75__amax=0.95,0.3047430575080822,0.18724308046207666,0.290130487030221,0.3204088411112822,0.6067411969545177,0.3475513657608155
hybrid_fixed__norm=rank__alpha=0.85,0.304974737923352,0.18732933337003074,0.29008447676205745,0.3206400086073696,0.6046324493193185,0.35067961859970903
attention,0.30806784784322244,0.19494913516199455,0.2930452192862254,0.3247532617835577,0.5954675228531275,0.36741633589946027
hybrid_fixed__norm=rank__alpha=0.90,0.3085957805298663,0.18996088738694691,0.29351972754264066,0.32407483604246434,0.6020181171690004,0.3547853024279592
hybrid_fixed__norm=rank__alpha=0.95,0.3099612432545002,0.1909432913397277,0.29494514745552114,0.32566844120996574,0.5973639866528146,0.3605479093812202
random,0.45175862734948374,0.14521666274577377,0.4398532535203642,0.46266827408984834,0.2514765252560667,0.6814958006437888
