subset,method,mean_auc,mean_comp,mean_suff,n
low_confidence,attention,0.28131218875073527,0.5685813951836536,0.3939079902949766,300
low_confidence,ig,0.22843226893006816,0.6333229017432384,0.2006721000550101,300
low_confidence,hybrid_fixed__norm=minmax__alpha=0.60,0.23434698476592472,0.5997277518154198,0.21663139869917056,300
low_confidence,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.2303620660852699,0.6146486984591091,0.2084785214744837,300
low_confidence,random,0.4168225238434281,0.24237317610938391,0.6503450275003008,300
high_confidence,attention,0.33482350693570956,0.6223536505226017,0.340924681503944,300
high_confidence,ig,0.2869687761558753,0.6816658222950622,0.2170636792895122,300
high_confidence,hybrid_fixed__norm=minmax__alpha=0.60,0.2925759390267234,0.6664573984994636,0.23231167375629638,300
high_confidence,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.29079613998919646,0.6714576798161217,0.22670956658003813,300
high_confidence,random,0.4866947308555395,0.2605798744027495,0.712646573787277,300
short_text,attention,0.29900526608378336,0.6160152958949933,0.46865558040104494,301
short_text,ig,0.26089702681291804,0.6503462586302031,0.33955944925557796,301
short_text,hybrid_fixed__norm=minmax__alpha=0.60,0.2670517335637023,0.6307866189366523,0.36583281956016817,301
short_text,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.2652534252947775,0.6356346600164299,0.3556513507581528,301
short_text,random,0.43476263697464657,0.26906006873431354,0.6812903251235313,301
long_text,attention,0.31719104887864435,0.5747823065133232,0.26549990581592525,299
long_text,ig,0.2544826369735609,0.6646902788086924,0.07730213905494222,299
long_text,hybrid_fixed__norm=minmax__alpha=0.60,0.25984717503384624,0.6354139558345575,0.08216469247167042,299
long_text,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.25587351441007317,0.65052134052717,0.07861327705067742,299
long_text,random,0.4688683032786679,0.23377536610238006,0.6817026505822422,299
